Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Madagascar,MDG,101.75,98.43,99.82,97.24,101.87,102.83,103.99,105.75,108.17,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malawi,MWI,105.77,98.75,95.49,111.86,114.83,121.09,128.17,134.07,135.51,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malaysia,MYS,101.21,104.44,94.36,106.57,102.78,103.03,101.74,97.74,97.93,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Maldives,MDV,98.07,99.75,102.18,101.42,100.61,108.02,108.65,94.11,93.7,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mali,MLI,89.18,96.9,113.91,115.23,125.08,128.69,126.5,126.74,133.12,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Malta,MLT,105.18,100.45,94.37,93.98,65.69,59.71,55.87,53.89,53.79,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Marshall Islands,MHL,83.33,90,126.67,126.67,80,90.04,90.04,90.04,90.84,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mauritania,MRT,108.91,96.41,94.67,111.63,122.02,105.19,116.02,140.7,145.03,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mauritius,MUS,103.38,99.95,96.67,95.77,83.33,88.44,70.56,74.1,67.76,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mexico,MEX,97.86,97.14,105,110.96,113.1,112.3,111.12,111.91,115.12,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Micronesia, Fed. Sts.",FSM,100.41,99.27,100.31,100.5,122.67,122.79,122.83,122.83,125.71,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Moldova,MDA,104.33,87.74,107.93,121.19,128.96,126.53,79.73,135.27,93.04,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mongolia,MNG,120.19,72.32,107.49,68.58,106.52,109.78,116.38,138.19,122.9,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Montenegro,MNE,87.34,101.61,111.05,100.94,104.35,92.76,94.2,96.94,89.55,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Morocco,MAR,101.96,110.39,87.66,107.35,117.05,108.12,93.14,118.58,106.83,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Mozambique,MOZ,102.31,95.65,102.04,115.68,135.99,144.9,139.32,151.17,157.47,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Myanmar,MMR,99.86,100.9,99.24,97.07,100.45,98.16,96.55,98.9,94.24,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Namibia,NAM,100.72,103.3,95.98,108.31,111.76,99.04,116.68,116.61,116.27,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nauru,NRU,99.16,100.02,100.82,102.06,103.09,102.23,102.51,102.59,102.69,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nepal,NPL,98,96.32,105.67,104.94,108.15,111.28,113.73,112.82,116.66,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Netherlands,NLD,102.63,99.75,97.61,107.1,93.55,104.66,103.19,103.94,100.37,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,New Caledonia,NCL,75.95,108.43,115.62,111.75,116.05,116.19,117.7,105.13,94.33,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,New Zealand,NZL,101.36,96.04,102.6,93.53,103.18,106.2,108.93,104.93,108.2,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nicaragua,NIC,95.92,97.11,106.97,114.06,117.1,118.24,123.28,127.55,130.79,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Niger,NER,90.03,100.23,109.74,110.28,121.82,120.12,130.08,103.52,137.93,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nigeria,NGA,95.08,97.29,107.64,109.74,114.88,109.64,112.71,118.31,120.89,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,North Macedonia,MKD,91.64,104.14,104.22,79.24,101.3,94.74,102.86,96.24,102.74,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Norway,NOR,97.26,101.85,100.89,98.95,71.74,101.43,100.21,95.01,101.79,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Oman,OMN,89.89,103.07,107.05,133.98,137.49,139.81,160.11,154.29,161.69,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Pakistan,PAK,102.34,97.1,100.56,105.46,99.66,100.32,105.14,113.42,104.13,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Panama,PAN,99.47,98.44,102.09,104.95,109.94,118.42,126.08,129.48,130.95,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Papua New Guinea,PNG,99.8,99.79,100.41,100.18,101.18,100.99,97.48,98.77,99.03,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Paraguay,PRY,98.79,99.68,101.53,109.45,111.5,101.14,118.78,108.94,74.78,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Peru,PER,97.97,98.85,103.18,102.64,112.31,114.67,118.61,125,130.74,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Philippines,PHL,102.04,100.38,97.58,103.23,102.8,101.81,102.93,105.11,103.98,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Poland,POL,105.29,92.36,102.35,103.14,93.26,90.07,107.75,107.9,110.01,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Portugal,PRT,92.88,111.68,95.44,116.61,102.05,118.31,110.11,144.08,113.88,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Puerto Rico (US),PRI,90.89,101.89,107.22,107.43,105.79,109.01,108.12,107.54,107.53,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Qatar,QAT,99.22,100.26,100.52,101.36,122.73,128.78,138.06,148.93,153.35,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Romania,ROU,104.98,94.2,100.82,123.9,132.87,123.84,87.26,115.92,85.41,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Russian Federation,RUS,96.88,99.62,103.5,110.11,103.6,111.52,112.78,111.37,133.67,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Rwanda,RWA,97.24,100.32,102.45,106.03,111.58,114.9,116.33,122.56,123.19,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Samoa,WSM,128.29,87.02,84.69,82.65,82.81,80.7,81.74,85.19,84.07,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sao Tome and Principe,STP,106.54,88.87,104.59,110.39,106.57,106.22,105.73,106.25,107.39,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Saudi Arabia,SAU,84.55,105.05,110.39,136.79,138.35,152.11,181.73,174.15,182.29,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Senegal,SEN,80.07,114.05,105.88,141.51,166.28,165.89,203.82,198.07,189.93,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Serbia,SRB,98.78,92.06,109.16,86.01,107.24,108.26,113.06,103.4,94.58,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Seychelles,SYC,95.33,103.36,101.3,101.56,101.47,102.09,101.91,102.55,101.78,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sierra Leone,SLE,110.39,96.14,93.47,83.94,89,77.42,91.15,133.47,105.75,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Singapore,SGP,100.1,100.94,98.96,100.12,106.1,107.4,101.67,104.66,90.86,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Slovak Republic,SVK,105.03,86.66,108.31,87.54,96.8,93.51,101.12,99.81,85,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Slovenia,SVN,98.26,106,95.74,87.31,101.33,93.98,105.74,84.9,81.75,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Solomon Islands,SLB,98.9,100.49,100.6,102.04,103.63,104.71,104.29,108.11,108,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Somalia, Fed. Rep.",SOM,101.08,105.5,93.42,101.67,105.58,102.53,100.95,101.06,101.37,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,South Africa,ZAF,107.89,100.68,91.43,117.28,111.94,106.95,119.28,125.16,124.13,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,South Sudan,SSD,98.25,103.33,98.41,96.58,101.12,106.95,110.85,112.4,117.91,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Spain,ESP,94.65,99.16,106.19,98.65,121.45,102.04,116.68,114.78,87.04,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sri Lanka,LKA,97.76,104.53,97.71,86.75,94.14,95.85,107.34,117.02,95.73,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,St. Kitts and Nevis,KNA,102,98.04,99.96,104.33,105.11,111.43,107.75,109.84,108.37,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,St. Lucia,LCA,102.31,101.3,96.39,100.37,104.32,98.66,79.91,72.91,77.63,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,St. Vincent and the Grenadines,VCT,102.13,100.22,97.65,99.48,101.23,102.74,103.68,102.09,102.52,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sudan,SDN,106.91,85.38,107.7,103.42,130.94,122.21,128.05,116.62,126.22,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Suriname,SUR,102.88,97.92,99.2,102.18,95.87,89.67,79.98,79.9,80.24,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sweden,SWE,99.87,103.91,96.22,103.35,64.14,105.2,102.54,91.72,103.06,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Switzerland,CHE,110.22,96.5,93.29,96.02,107.56,98.23,104.23,80.53,97.36,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Syrian Arab Republic,SYR,85.07,113.44,101.49,112.54,107.35,123.99,128.83,100.49,96.3,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Tajikistan,TJK,98.91,99.16,101.93,109.07,119.18,131.07,137.86,131.68,131.33,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Tanzania,TZA,99.52,104.21,96.27,93.64,99.97,101.22,106.51,104.72,100.37,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Thailand,THA,103.13,96.14,100.72,102.94,106.38,102.51,97.97,102.1,106.6,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Timor-Leste,TLS,104.53,102.75,92.72,87.16,95.52,86.08,92.42,93.42,107.66,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Togo,TGO,102.38,97.1,100.52,105.63,111.28,112.96,112.72,115.76,119.81,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Tonga,TON,94.25,107.67,98.07,98.07,96.26,96.61,96.53,96.72,97.18,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Trinidad and Tobago,TTO,97.58,101.01,101.41,104.64,105.87,101.45,102,101.09,98.55,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Tunisia,TUN,86.95,119.87,93.18,90.71,118.98,106.36,131.04,102.89,111.48,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Turkiye,TUR,94.98,102.18,102.84,108.25,107.22,109.98,115.79,114.51,125.29,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Turkmenistan,TKM,92.25,96.04,111.71,113.42,107.51,116.92,126.11,125.31,121.16,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Tuvalu,TUV,98.97,100.14,100.89,101.66,102.59,116.36,117.35,117.01,112.68,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Uganda,UGA,103.15,104.94,91.92,105.08,103.86,122.78,153.38,169.72,148.35,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Ukraine,UKR,100.14,96.11,103.75,100.82,111.07,112.83,100.9,121.71,90.06,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,United Arab Emirates,ARE,90.32,104.59,105.09,98.67,98.98,102.45,108.17,113.32,116.03,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,United Kingdom,GBR,104.19,102.87,92.94,101.62,91.3,101.7,83.04,90.1,94.33,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,United States,USA,97.81,95.48,106.71,100.53,100.21,93.68,98.43,101,92.96,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Uruguay,URY,107.55,103.42,89.03,104.17,65.2,97.48,85.09,91.17,79.71,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Uzbekistan,UZB,95.4,101.34,103.26,95.76,89.45,95.67,99.01,102.59,107.7,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Vanuatu,VUT,104.56,97.51,97.93,82.67,83.09,83.93,83.43,84.58,84.55,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Venezuela, RB",VEN,107.27,103.62,96.38,95.79,86.25,86.75,95.11,97.18,93.94,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Viet Nam,VNM,99.4,100.98,99.63,101.53,104.7,105.44,106.01,109.24,109.55,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,West Bank and Gaza,PSE,101.93,84.78,113.29,114.9,126.82,129.95,124.13,117.31,116.75,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Yemen, Rep.",YEM,108.59,98.61,92.8,92.49,88.83,105.46,109.51,124.71,118.58,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Zambia,ZMB,102.67,91.35,105.97,128.94,117.61,107.69,129.22,136.31,123.04,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Zimbabwe,ZWE,109.52,96.35,94.14,107.07,135.98,104.29,127.77,129.97,123.48,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Africa Eastern and Southern,AFE,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Africa Western and Central,AFW,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Arab World,ARB,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Caribbean small states,CSS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Central Europe and the Baltics,CEB,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Early-demographic dividend,EAR,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,East Asia & Pacific,EAS,98.5739184777165,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,East Asia & Pacific (excluding high income),EAP,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,East Asia & Pacific (IDA & IBRD countries),TEA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Euro area,EMU,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Europe & Central Asia,ECS,99.9691203619053,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Europe & Central Asia (excluding high income),ECA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Europe & Central Asia (IDA & IBRD countries),TEC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,European Union,EUU,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Fragile and conflict affected situations,FCS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Heavily indebted poor countries (HIPC),HPC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,High income,HIC,97.617867207386,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,IBRD only,IBD,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,IDA & IBRD total,IBT,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,IDA blend,IDB,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,IDA only,IDX,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,IDA total,IDA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Late-demographic dividend,LTE,99.1058607727028,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Latin America & Caribbean,LCN,99.8958001010148,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Latin America & Caribbean (excluding high income),LAC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Latin America & the Caribbean (IDA & IBRD countries),TLA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Least developed countries: UN classification,LDC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Low & middle income,LMY,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Low income,LIC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Lower middle income,LMC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Middle East, North Africa, Afghanistan & Pakistan",MEA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Middle income,MIC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,North America,NAC,99.5974343686715,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,OECD members,OED,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Other small states,OSS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Pacific island small states,PSS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Post-demographic dividend,PST,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Pre-demographic dividend,PRE,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Small states,SST,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,South Asia,SAS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,South Asia (IDA & IBRD),TSA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sub-Saharan Africa,SSF,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sub-Saharan Africa (excluding high income),SSA,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Sub-Saharan Africa (IDA & IBRD countries),TSS,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Upper middle income,UMC,100,100,100,100,100,100,100,..,..,..,..
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,World,WLD,99.4300069581185,100,100,100,100,100,100,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Afghanistan,AFG,5.74254814033237,5.71089422316012,6.4811395410182,5.99050382484833,5.1223362273086,6.00631412786109,6.50692976274372,6.32161407355206,5.82830892908412,5.97911638157204,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Albania,ALB,12.7566444404704,13.4548241505578,14.3014301430143,14.5621022566149,14.9904478481468,15.2470187393526,15.6148787487506,16.5444897168956,16.7928848185981,18.1600612674708,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Algeria,DZA,2.74253336873356,2.93141951544273,3.04763516617424,3.16041260466687,..,3.34495110852938,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Argentina,ARG,..,..,..,..,1.19986198568101,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Armenia,ARM,9.1985482239543,9.22645673048249,9.23187022900763,9.22975956088539,9.23508018839802,9.2546213476446,9.28520286396181,9.30786591991975,9.43187318489835,9.45348907583369,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Australia,AUS,0.630650360688312,0.61734636719053,0.626674683743819,0.603490239002574,0.640298694604271,0.539344565310351,0.427517391609866,0.535047686640863,0.535047686640863,0.535453227882219,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Austria,AUT,..,..,1.43062052228884,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Azerbaijan,AZE,29.7230433779902,30.001257914378,29.8114393463231,29.9298796441654,29.9884925201381,30.0144360524719,30.6458023890714,30.7346358197716,30.7352787365338,30.6301782575948,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bangladesh,BGD,59.3691614463128,59.4614417435038,59.7114923413757,60.158936274195,60.3828825402345,82.7604554645099,83.5524920466596,84.3491187088554,88.7769173650154,89.0413873816363,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Belarus,BLR,0.344391748512854,0.352219449044809,0.355104480410656,0.356722392276901,0.358452620371466,0.361273399308454,0.365897838425311,0.349889894788353,0.321225599209291,0.318645755538959,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Benin,BEN,..,..,..,0.420190659557399,..,1.14440949269105,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bolivia,BOL,..,..,..,0.783342119135477,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Botswana,BWA,0.00961390555299185,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Brazil,BRA,..,..,..,2.91412915454726,..,3.46044099838366,3.56603573039288,3.70707547169811,3.87876104288415,3.87876104288415,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,6.7865671641791,7.74925373134328,8.33805970149254,8.23507462686567,..
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Bulgaria,BGR,..,..,1.85022903804023,..,..,..,0.541149197543095,0.56164454131167,0.547192353643967,0.616381403920456,..
